,cidade,m2Aprox,4mm,3mm,$4mm,$3mm
0,1,58.652927732086226,18054.0,15045.0,297.78289627976966,256.5089345364357
1,1,148.76674790670725,45000.0,38160.0,297.78289627976966,256.5089345364357
2,1,17.855128548551345,5000.0,4580.0,297.78289627976966,256.5089345364357
3,1,120.55259200069383,35898.5,30922.816929703615,297.78289627976966,256.5089345364357
4,1,14.619373811586795,4375.0,3750.0,297.78289627976966,256.5089345364357
5,1,141.77338768421444,42217.69,36366.14062049888,297.78289627976966,256.5089345364357
6,1,336.28403687337163,102480.0,86259.86,297.78289627976966,256.5089345364357
7,1,61.8,17922.0,15852.252154351723,297.78289627976966,256.5089345364357
8,1,358.57,103985.3,91976.40865672972,297.78289627976966,256.5089345364357
9,1,15.0,4350.0,3847.634018046535,297.78289627976966,256.5089345364357
10,1,98.55,28579.5,25278.955498565734,297.78289627976966,256.5089345364357
11,1,691.47,200526.3,177368.23296390922,297.78289627976966,256.5089345364357
12,1,235.0,65100.0,60279.599616062376,297.78289627976966,256.5089345364357
13,1,12.59306711986857,3750.0,3230.234229463308,297.78289627976966,256.5089345364357
14,1,23.74,7069.365957681731,5181.74,297.78289627976966,256.5089345364357
15,1,6.5,1935.5888258185028,1621.0,297.78289627976966,256.5089345364357
16,1,667.5,206600.0,171219.7138030708,297.78289627976966,256.5089345364357
17,1,28.52532218116816,8780.0,7317.0,297.78289627976966,256.5089345364357
18,1,77.42721387979992,23056.5,19860.7721364322,297.78289627976966,256.5089345364357
19,1,105.0,40405.44,30253.06,297.78289627976966,256.5089345364357
20,1,4.346827146645142,1294.4107773555172,1115.0,297.78289627976966,256.5089345364357
21,1,181.0,45250.0,38372.0,297.78289627976966,256.5089345364357
22,1,202.5,50625.0,42930.0,297.78289627976966,256.5089345364357
23,1,792.6,214000.2,203308.9815135789,297.78289627976966,256.5089345364357
24,1,32.94346358557618,9810.0,8450.292744276014,297.78289627976966,256.5089345364357
25,1,7.982645921088362,2272.0,2047.62,297.78289627976966,256.5089345364357
26,1,181.64583656395646,63107.28,46593.78,297.78289627976966,256.5089345364357
27,1,224.8,67440.0,57663.20848379074,297.78289627976966,256.5089345364357
28,1,179.72825393476424,53520.0,46101.902922900335,297.78289627976966,256.5089345364357
29,1,13.886455871165913,4275.0,3562.0,297.78289627976966,256.5089345364357
30,1,11.329040079058995,3373.5943668117793,2906.0,297.78289627976966,256.5089345364357
31,1,10.48618444757498,3122.606375722754,2689.8,297.78289627976966,256.5089345364357
32,1,85.63054553906774,27115.0,21965.0,297.78289627976966,256.5089345364357
33,1,32.183206463817676,9735.0,8255.28,297.78289627976966,256.5089345364357
34,1,143.7776429372731,42269.76,36880.25,297.78289627976966,256.5089345364357
35,1,154.40744811317307,52750.17,39606.89,297.78289627976966,256.5089345364357
36,1,224.8,60696.0,57663.20848379074,297.78289627976966,256.5089345364357
37,1,15.90739912188284,4736.9513827925375,4080.39,297.78289627976966,256.5089345364357
38,1,1677.5,503250.0,419375.0,297.78289627976966,256.5089345364357
39,1,87.71624286952078,27000.0,22500.0,297.78289627976966,256.5089345364357
40,1,104.7020059887431,31485.0,26857.0,297.78289627976966,256.5089345364357
41,1,280.0,83379.2109583355,78400.0,297.78289627976966,256.5089345364357
42,1,80.97886178575068,24114.12,20771.801556636197,297.78289627976966,256.5089345364357
43,1,46.0,13698.013228869404,17020.0,297.78289627976966,256.5089345364357
44,1,70.0,20844.80273958388,25900.0,297.78289627976966,256.5089345364357
45,1,217.5,65250.0,56500.0,297.78289627976966,256.5089345364357
46,1,55.0,16500.0,14300.0,297.78289627976966,256.5089345364357
47,1,55.0,16378.059295387331,14300.0,297.78289627976966,256.5089345364357
48,1,22.5,6700.115166294818,5850.0,297.78289627976966,256.5089345364357
49,1,13.0,3871.1776516370055,3380.0,297.78289627976966,256.5089345364357
50,1,123.0,24780.0,20625.0,297.78289627976966,256.5089345364357
51,1,82.25,38932.0,34875.0,297.78289627976966,256.5089345364357
52,1,13.176928928843568,3923.86406050372,3380.0,297.78289627976966,256.5089345364357
53,1,1511.75,489112.5,387777.38178545656,297.78289627976966,256.5089345364357
54,1,3.24,964.8165839464538,1026.0,297.78289627976966,256.5089345364357
55,1,24.4,7265.90266922638,5612.0,297.78289627976966,256.5089345364357
56,1,108.3,32145.0,27779.917610295986,297.78289627976966,256.5089345364357
57,1,977.5,291082.78111347486,260600.0,297.78289627976966,256.5089345364357
58,1,36.6,10898.85400383957,7897.0,297.78289627976966,256.5089345364357
59,1,150.0,45000.0,37500.0,297.78289627976966,256.5089345364357
60,1,35.04751215097742,10436.549675718477,8990.0,297.78289627976966,256.5089345364357
